             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
        17453215_8  parallel HT_aflow   coses1  R   15:29:16      1 c440
        17453215_9  parallel HT_aflow   coses1  R   15:29:16      1 c443
       17453215_10  parallel HT_aflow   coses1  R   15:29:16      1 c455
       17453215_11  parallel HT_aflow   coses1  R   15:29:16      1 c469
       17453215_12  parallel HT_aflow   coses1  R   15:29:16      1 c485
       17453215_13  parallel HT_aflow   coses1  R   15:29:16      1 c489
       17453215_14  parallel HT_aflow   coses1  R   15:29:16      1 c538
       17453215_15  parallel HT_aflow   coses1  R   15:29:16      1 c548
       17453215_16  parallel HT_aflow   coses1  R   15:29:16      1 c554
       17453215_17  parallel HT_aflow   coses1  R   15:29:16      1 c556
       17453215_18  parallel HT_aflow   coses1  R   15:29:16      1 c580
       17453215_19  parallel HT_aflow   coses1  R   15:29:16      1 c588
       17453215_20  parallel HT_aflow   coses1  R   15:29:16      1 c657
       17453215_21  parallel HT_aflow   coses1  R   15:29:16      1 c659
       17453215_22  parallel HT_aflow   coses1  R   15:29:16      1 c701
       17453215_23  parallel HT_aflow   coses1  R   15:29:16      1 c717
       17453215_24  parallel HT_aflow   coses1  R   15:29:16      1 c727
       17453215_25  parallel HT_aflow   coses1  R   15:29:16      1 c731
       17453215_26  parallel HT_aflow   coses1  R   15:29:16      1 c756
       17453215_27  parallel HT_aflow   coses1  R   15:29:16      1 c328
       17453215_28  parallel HT_aflow   coses1  R   15:29:16      1 c329
       17453215_29  parallel HT_aflow   coses1  R   15:29:16      1 c347
       17453215_30  parallel HT_aflow   coses1  R   15:29:16      1 c348
       17453215_31  parallel HT_aflow   coses1  R   15:29:16      1 c496
       17453215_32  parallel HT_aflow   coses1  R   15:29:16      1 c497
       17453215_33  parallel HT_aflow   coses1  R   15:29:16      1 c566
       17453215_34  parallel HT_aflow   coses1  R   15:29:16      1 c567
       17453215_35  parallel HT_aflow   coses1  R   15:29:16      1 c707
       17453215_36  parallel HT_aflow   coses1  R   15:29:16      1 c708
       17453215_37  parallel HT_aflow   coses1  R   15:29:16      1 c753
       17453215_38  parallel HT_aflow   coses1  R   15:29:16      1 c754
       17453215_39  parallel HT_aflow   coses1  R   15:29:16      1 c500
       17453215_40  parallel HT_aflow   coses1  R   15:29:16      1 c501
       17453215_41  parallel HT_aflow   coses1  R   15:29:16      1 c502
       17453215_42  parallel HT_aflow   coses1  R   15:29:16      1 c023
       17453215_43  parallel HT_aflow   coses1  R   15:29:16      1 c024
       17453215_44  parallel HT_aflow   coses1  R   15:29:16      1 c025
       17453215_45  parallel HT_aflow   coses1  R   15:29:16      1 c026
       17453215_46  parallel HT_aflow   coses1  R   15:29:16      1 c277
       17453215_47  parallel HT_aflow   coses1  R   15:29:16      1 c278
       17453215_48  parallel HT_aflow   coses1  R   15:29:16      1 c279
       17453215_49  parallel HT_aflow   coses1  R   15:29:16      1 c280
       17453215_50  parallel HT_aflow   coses1  R   15:29:16      1 c426
       17453215_51  parallel HT_aflow   coses1  R   15:29:16      1 c427
       17453215_52  parallel HT_aflow   coses1  R   15:29:16      1 c428
       17453215_53  parallel HT_aflow   coses1  R   15:29:16      1 c429
       17453215_54  parallel HT_aflow   coses1  R   15:29:16      1 c747
       17453215_55  parallel HT_aflow   coses1  R   15:29:16      1 c748
       17453215_56  parallel HT_aflow   coses1  R   15:29:16      1 c749
       17453215_57  parallel HT_aflow   coses1  R   15:29:16      1 c750
       17453215_58  parallel HT_aflow   coses1  R   15:29:16      1 c170
       17453215_59  parallel HT_aflow   coses1  R   15:29:16      1 c171
